Very Likely,70.5,,Athletes
Likely,20.9,,
Undecided,5.8,,
Unlikely,1.4,,
Very Unlikely,1.4,,
,,,
Very Likely,14.9,,
Likely,23.4,,
Undecided,44.7,,Walk-Ons
Unlikely,10.6,,
Very Unlikely,6.4,,
