Arts/Sports/Entertainment,5.5
Consulting,1.7
Education,4.0
Entrepreneurship,12.9
Finance,6.4
Government/Politics,14.5
Graduate School,3.6
Health,9.8
Media/Publishing,1.6
Nonprofit/Public Service,4.7
Professional School (MBA&#44; JD&#44; MD&#44; etc.),3.3
Technology/Engineering,16.7
Business -- Other,7.6
Other sector,7.8
